,r2,mae,corr
xgb_svr_set5,0.11753744463498812,0.7414387781330254,0.3474914404532906
xgb_svr_set6,0.12740711063892704,0.7328202527248562,0.35445713849800026
xgb_svr_set7,0.04466301884802778,0.7706851285316222,0.26417624082369556
xgb_svr_set8,0.02648057091404007,0.7812494391524816,0.25212145204096276
xgb_xgb_set1,0.118344979994058,0.7414168636800534,0.3452156089986497
xgb_xgb_set2,0.09514571346224583,0.7530687499893441,0.32295079860465303
xgb_xgb_set3,0.04970567019786752,0.7733763064331988,0.2923365840622488
xgb_xgb_set4,-0.05446532660824694,0.8026698216334305,0.2211336185655963
xgb_xgb_set5,0.1054748491088208,0.7488012489102657,0.33115584137990306
xgb_xgb_set6,0.11809557008686263,0.7388875558793693,0.34039044038052974
xgb_xgb_set7,0.03361636766966009,0.779586561362969,0.25734538186027617
xgb_xgb_set8,0.020838071021834232,0.7838048106257224,0.24825529829622553
