name,label,r2,mae,corr
"Facename: Encoding-Distractor, SVR",svr_facename,-0.002,0.791,0.146
"Facename FC, SVR",svr_facename_FC_PCA75,-0.018,0.795,0.025
"Emotion Processing Contrast, SVR",svr_faces,-0.029,0.804,0.083
"Emotion Processing FC, SVR",svr_faces_FC_PCA75,-0.021,0.799,0.038
"MID Contrast, SVR",svr_mid,-0.021,0.799,0.047
"MID FC, SVR",svr_mid_FC_PCA75,-0.022,0.798,0.040
"Resting State FC, SVR",svr_rest_PCA75,-0.011,0.796,0.103
"Stroop Contrast, SVR",svr_stroop,-0.001,0.794,0.142
"Stroop FC, SVR",svr_stroop_FC_PCA75,-0.013,0.796,0.075
"Subcortical Volume, SVR",svr_subc,-0.022,0.798,0.026
"Surface Area, SVR",svr_surf,-0.019,0.797,0.017
"Total Brain Volume, XGB",xgb_brainVol,-0.015,0.798,0.073
"Cortical Thickness, XGB",xgb_cort,-0.036,0.806,0.024
